file,probe,device_id,moisture_pct,m_raw,temp_C,ec_uS_cm,ec_range,carry_nibble,payload
g55271_915M_1000k.cu8,back_lawn_nw,0058ac,79,1414,22.7,2271.9,4,0,a20058ac02734f8650e33046593e93517e637b454a08949b
g55284_915M_1000k.cu8,back_lawn_se,005995,80,1407,22.5,2332.7,4,0,a20059950271507f50e94646473293547e807b884d083c89
g55288_915M_1000k.cu8,back_lawn_ne,005b45,78,1436,22.6,2191.2,4,0,a2005b4502724e9c50db1f467743935277837ba04b086ca3
g55301_915M_1000k.cu8,back_lawn_sw,005cb5,83,1455,22.7,2251.8,4,0,a2005cb5027353af50e12d46565393527e6f7b6a4b088a0b
g55310_915M_1000k.cu8,back_lawn_nw,0058ac,79,1416,22.7,2271.9,4,0,a20058ac02734f8850e33046593e93517e637b454a08c6cf
g55323_915M_1000k.cu8,back_lawn_se,005995,80,1407,22.5,2332.7,4,0,a20059950271507f50e94646473293547e807b884c08c814
g55328_915M_1000k.cu8,back_lawn_ne,005b45,78,1435,22.6,2191.2,4,0,a2005b4502724e9b50db20467743935277837ba04b086198
g55548_915M_1000k.cu8,back_lawn_sw,005cb5,78,1411,23.0,3404.6,5,1,a2005cb502764e8351547556565393527e6f7b6a4b083958
g55558_915M_1000k.cu8,pear_tree,0074d8,13,745,19.8,4.9,1,0,a20074d802560de920007d16523c9386741a8c2550094573
g55562_915M_1000k.cu8,back_lawn_nw,0058ac,75,1374,23.0,3636.8,5,1,a20058ac02764b5e516baf56593e93517e637b454a08746a
g55567_915M_1000k.cu8,back_lawn_se,005995,76,1375,22.8,3738.6,5,1,a200599502744c5f5175db56473293547e807b884d08d02e
g55572_915M_1000k.cu8,back_lawn_ne,005b45,72,1371,22.8,3415.0,5,1,a2005b450274485b515581567743935277837ba04b08bd9c
g55772_915M_1000k.cu8,back_lawn_sw,005cb5,98,1603,23.2,10002.7,13,3,a2005cb50278624363e844d6565393527e6f7b6a4b08c6b0
g55795_915M_1000k.cu8,back_lawn_se,005995,95,1557,23.0,10007.7,13,3,a200599502765f1563e8c6d6473293547e807b884d086b84
g55797_915M_1000k.cu8,back_lawn_nw,0058ac,93,1561,23.1,10002.2,13,3,a20058ac02775d1963e838d6593e93517e637b454a08217d
g55802_915M_1000k.cu8,back_lawn_ne,005b45,91,1564,22.9,10002.8,13,3,a2005b4502755b1c63e848d67743935277837ba04b0859f9
g57160_915M_1000k.cu8,pear_tree,0074d8,13,745,20.0,4.9,1,0,a20074d802580de920007d16523c9386741a8c2550097bab
g57162_915M_1000k.cu8,back_lawn_ne,005b45,74,1392,21.3,4970.9,7,1,a2005b4502654a7051f118767743935277837ba04b08a8e2
g57177_915M_1000k.cu8,back_lawn_sw,005cb5,79,1416,21.5,4940.1,7,1,a2005cb502674f8851ee0376565393527e6f7b6a4b0892f0
g57184_915M_1000k.cu8,back_lawn_nw,0058ac,77,1398,21.4,5070.9,7,1,a20058ac02664d7651fb1776593e93517e637b454a082e46
g57192_915M_1000k.cu8,front_lawn_en,0057a2,26,894,19.7,5.3,1,0,a20057a202551a7e3000881669459358774d7b364c08d18b
g57195_915M_1000k.cu8,front_lawn_es,005c90,14,761,20.3,5.3,1,0,a2005c90025b0ef9200088169d32935e82787b684b08e585
g57198_915M_1000k.cu8,back_lawn_se,005995,77,1380,21.2,5122.3,7,2,a200599502644d6452003c76473293547e807b884d0872d3
g57201_915M_1000k.cu8,pear_tree,0074d8,13,744,20.1,4.9,1,0,a20074d802590de820007d16523c9386741a8c25500971a1
g57205_915M_1000k.cu8,back_lawn_ne,005b45,74,1391,21.3,4991.1,7,1,a2005b4502654a6f51f31d767743935277837ba04b082666
g57215_915M_1000k.cu8,back_lawn_sw,005cb5,79,1416,21.5,4950.2,7,1,a2005cb502674f8851ef0676565393527e6f7b6a4b0874d6
g57221_915M_1000k.cu8,back_lawn_nw,0058ac,77,1398,21.5,5111.5,7,1,a20058ac02674d7651ff2676593e93517e637b454a08d0fc
g57229_915M_1000k.cu8,front_lawn_en,0057a2,26,893,19.7,5.3,1,0,a20057a202551a7d3000881669459358774d7b364c086922
g57233_915M_1000k.cu8,front_lawn_es,005c90,14,761,20.3,5.3,1,0,a2005c90025b0ef9200088169d32935e82787b684b08e585
g57237_915M_1000k.cu8,back_lawn_se,005995,77,1379,21.3,5132.5,7,2,a200599502654d6352014076473293547e807b884c0867cc
g57242_915M_1000k.cu8,pear_tree,0074d8,13,745,20.1,4.9,1,0,a20074d802590de920007d16523c9386741a8c255009194a
g57243_915M_1000k.cu8,back_lawn_ne,005b45,74,1391,21.3,5051.7,7,1,a2005b4502654a6f51f92c767743935277837ba04b080358
g57256_915M_1000k.cu8,back_lawn_sw,005cb5,79,1416,21.6,4980.6,7,1,a2005cb502684f8851f20f76565393527e6f7b6a4b084bba
g57699_915M_1000k.cu8,back_lawn_nw,0058ac,1,630,34.4,4.7,1,0,a20058ac02e8017620007916593e93517e637b454a085e82
g57702_915M_1000k.cu8,back_lawn_se,005995,0,610,35.1,5.2,1,0,a200599502ef006220008516473293547e807b884c0860b3
g57719_915M_1000k.cu8,pear_tree,0074d8,13,744,20.2,4.9,1,0,a20074d8025a0de820007d16523c9386741a8c255009d708
g57729_915M_1000k.cu8,back_lawn_sw,005cb5,0,620,37.2,5.2,1,0,a2005cb50304006c20008516565393527e6f7b6a4b08871b
g57733_915M_1000k.cu8,desk_spare,0070f4,0,586,25.4,5.0,1,0,a20070f4028e004a200081166948937e7cce7bf35109a510
g57739_915M_1000k.cu8,front_lawn_es,005c90,14,762,20.4,5.3,1,0,a2005c90025c0efa200088169d32935e82787b684b0842e4
g57746_915M_1000k.cu8,back_lawn_nw,0058ac,1,630,37.5,4.7,1,0,a20058ac0307017620007916593e93517e637b454a0868ac
g57749_915M_1000k.cu8,back_lawn_se,005995,1,614,36.3,5.2,1,0,a200599502fb016620008416473293547e807b884c08ab0e
