time,probe,device_id,moisture_pct,m_raw,temp_C,ec_uS_cm,byte11,ec_raw,byte8,logger
07:15:57,back_lawn_se,005995,35,958,14.5,157.1,0x16,,,1 (filtered)
07:16:01,back_lawn_sw,005cb5,31,947,12.5,76.2,0x16,,,1 (filtered)
07:16:11,back_lawn_ne,005b45,0,588,14.7,5.2,0x16,,,1 (filtered)
07:16:21,back_lawn_ne,005b45,26,889,14.4,76.0,0x16,,,1 (filtered)
07:16:22,back_lawn_sw,005cb5,31,950,12.5,76.2,0x16,,,1 (filtered)
07:16:25,desk_spare,0070f4,0,582,23.8,5.0,0x16,,,1 (filtered)
07:16:31,back_lawn_ne,005b45,26,890,13.8,76.1,0x16,,,1 (filtered)
07:16:33,back_lawn_sw,005cb5,31,948,12.7,76.2,0x16,,,1 (filtered)
07:16:45,back_lawn_nw,0058ac,27,889,15.3,46.0,0x16,,,1 (filtered)
07:17:09,back_lawn_se,005995,34,949,13.8,136.9,0x16,,,1 (filtered)
07:17:44,back_lawn_sw,005cb5,31,944,12.7,76.3,0x16,,,1 (filtered)
07:17:58,back_lawn_nw,0058ac,27,888,14.6,46.0,0x16,,,1 (filtered)
07:18:20,back_lawn_se,005995,34,946,13.1,136.8,0x16,,,1 (filtered)
07:18:33,back_lawn_ne,005b45,26,891,12.9,86.1,0x16,,,1 (filtered)
07:18:55,back_lawn_sw,005cb5,31,943,12.8,76.3,0x16,,,1 (filtered)
07:19:31,back_lawn_se,005995,34,944,12.5,136.8,0x16,,,1 (filtered)
07:20:07,back_lawn_sw,005cb5,31,942,12.8,76.3,0x16,,,1 (filtered)
07:20:42,back_lawn_se,005995,33,943,12.5,136.8,0x16,,,1 (filtered)
07:21:18,back_lawn_sw,005cb5,31,941,12.8,76.3,0x16,,,1 (filtered)
07:21:54,back_lawn_se,005995,33,942,12.5,136.8,0x16,,,1 (filtered)
07:22:29,back_lawn_sw,005cb5,30,939,12.8,76.3,0x16,,,1 (filtered)
