time,probe,moisture_pct,m_raw,temp_C,ec_uS_cm
07:15:57,back_lawn_se,35,958,14.5,157.1
07:16:01,back_lawn_sw,31,947,12.5,76.2
07:16:11,back_lawn_ne,0,588,14.7,5.2
07:16:21,back_lawn_ne,26,889,14.4,76.0
07:16:22,back_lawn_sw,31,950,12.5,76.2
07:16:31,back_lawn_ne,26,890,13.8,76.1
07:16:33,back_lawn_sw,31,948,12.7,76.2
07:16:45,back_lawn_nw,27,889,15.3,46.0
07:17:09,back_lawn_se,34,949,13.8,136.9
07:17:44,back_lawn_sw,31,944,12.7,76.3
07:17:58,back_lawn_nw,27,888,14.6,46.0
07:18:20,back_lawn_se,34,946,13.1,136.8
07:18:33,back_lawn_ne,26,891,12.9,86.1
07:18:55,back_lawn_sw,31,943,12.8,76.3
07:19:31,back_lawn_se,34,944,12.5,136.8
07:20:07,back_lawn_sw,31,942,12.8,76.3
07:20:42,back_lawn_se,33,943,12.5,136.8
07:21:18,back_lawn_sw,31,941,12.8,76.3
07:21:54,back_lawn_se,33,942,12.5,136.8
07:22:29,back_lawn_sw,30,939,12.8,76.3
07:22:50,back_lawn_nw,59,1219,13.2,5.5
07:23:05,back_lawn_se,58,1192,12.5,5.5
07:23:10,back_lawn_nw,63,1259,14.1,15.7
07:23:15,back_lawn_se,61,1223,12.6,5.4
07:23:18,back_lawn_ne,64,1284,13.0,35.5
07:23:25,back_lawn_se,61,1222,13.1,5.4
07:23:28,back_lawn_ne,64,1283,13.5,35.5
07:23:35,back_lawn_se,61,1221,13.8,5.4
07:23:40,back_lawn_sw,57,1204,12.8,5.6
07:23:45,back_lawn_se,61,1220,14.4,5.4
07:23:58,back_lawn_ne,63,1282,14.6,25.5
07:24:00,back_lawn_sw,57,1203,13.8,5.6
07:24:05,back_lawn_se,61,1219,14.5,5.4
07:24:10,back_lawn_sw,57,1202,14.3,5.6
07:24:16,back_lawn_se,61,1218,14.6,5.4
07:24:18,back_lawn_ne,63,1281,14.6,25.5
07:24:20,back_lawn_sw,57,1201,14.3,5.6
07:24:30,back_lawn_sw,57,1200,14.3,5.6
07:24:40,back_lawn_sw,57,1199,14.3,5.6
07:24:52,back_lawn_sw,57,1198,14.3,5.6
07:25:16,back_lawn_nw,63,1258,14.6,15.6
07:25:27,back_lawn_se,61,1216,14.6,5.4
07:25:41,back_lawn_ne,63,1280,14.6,15.4
07:26:03,back_lawn_sw,56,1193,14.4,5.6
07:26:39,back_lawn_se,60,1215,14.6,5.4
07:27:14,back_lawn_sw,56,1189,14.4,5.5
07:27:42,back_lawn_nw,63,1257,14.6,5.5
07:28:03,back_lawn_ne,63,1279,14.6,25.5
07:28:25,back_lawn_sw,55,1187,14.4,5.5
07:28:55,back_lawn_nw,63,1256,14.7,5.5
07:29:36,back_lawn_sw,1,650,14.4,5.3
07:30:06,back_lawn_sw,100,1670,14.0,278.3
07:30:08,back_lawn_nw,100,1669,14.6,318.7
07:30:12,back_lawn_se,100,1646,14.6,308.6
07:30:18,back_lawn_nw,100,1670,15.8,308.7
07:30:22,back_lawn_se,100,1648,15.8,298.6
07:30:26,back_lawn_ne,100,1690,14.6,328.6
