level,probe,device_id,moisture_pct,m_raw,temp_C,ec_uS_cm,notes
air,back_lawn_ne,005b45,0,572,11.8,5.1,clamped below zero point
air,back_lawn_nw,0058ac,0,575,12.0,4.7,clamped
air,back_lawn_se,005995,0,564,11.2,5.1,clamped
air,back_lawn_sw,005cb5,0,597,12.0,5.2,clamped
air,desk_spare,0070f4,0,583,23.5,5.0,indoor
dew_soil,back_lawn_ne,005b45,8,706,13.7,15.4,settled 06:58-07:02
dew_soil,back_lawn_nw,0058ac,10,722,14.0,5.1,settled 06:58-07:02
dew_soil,back_lawn_se,005995,14,752,14.4,5.2,settled 06:58-07:02
dew_soil,back_lawn_sw,005cb5,11,748,13.3,5.2,settled 06:58-07:02
normal_no_sprinkler,back_lawn_ne,005b45,26,891,14.4,5.3,settled 07:05-07:12
normal_no_sprinkler,back_lawn_nw,0058ac,22,839,14.9,4.9,settled 07:05-07:12
normal_no_sprinkler,back_lawn_sw,005cb5,26,893,14.2,5.4,settled 07:05-07:12
normal_no_sprinkler,back_lawn_se,005995,29,,14.5,5.2,PCT ONLY - garage node did not capture a raw frame at this level
sprinkler_soil,back_lawn_ne,005b45,26,890,13.5,80,settled 07:17-07:19
sprinkler_soil,back_lawn_nw,0058ac,27,888,14.9,46.0,settled 07:17-07:19
sprinkler_soil,back_lawn_sw,005cb5,31,943,12.7,76.3,settled 07:17-07:19
sprinkler_soil,back_lawn_se,005995,34,946,13.0,136.8,settled 07:17-07:19
saturated_soil,back_lawn_ne,005b45,63,1280,14.6,15.4,settled 07:23-07:26
saturated_soil,back_lawn_nw,0058ac,63,1257,14.6,5.5,settled 07:27
saturated_soil,back_lawn_se,005995,60,1215,14.6,5.4,settled 07:23-07:27 draining
saturated_soil,back_lawn_sw,005cb5,56,1189,14.4,5.5,settled 07:23-07:27 draining
submerged_water,back_lawn_ne,005b45,100,1661,18.6,328.9,CLAMPED - raw above its 100pct point 1661
submerged_water,back_lawn_nw,0058ac,100,1669,17.2,298.7,CLAMPED - raw above its 100pct point 1633
submerged_water,back_lawn_nw,0058ac,96,1593,18.8,308.9,UNCLAMPED near-top point; fit predicts 96.2
submerged_water,back_lawn_se,005995,100,1646,14.6,308.6,CLAMPED - raw above its 100pct point 1613
submerged_water,back_lawn_sw,005cb5,100,1666,18.3,298.7,CLAMPED - raw above its 100pct point 1625
